asset_wind_code | asset_name | record_count
----------------------------------------------------------------------
000039.SZ | 中集集团 | 108
000070.SZ | 特发信息 | 6
000089.SZ | 特变电工 | 1
000333.SZ | 美的集团 | 155
000338.SZ | 潍柴动力 | 177
000415.SZ | 渤海租赁 | 71
  ... | 长飞光纤光缆 | 1
000425.SZ | 徐工机械 | 72
000426.SZ | 兴业银锡 | 37
  ... | ST华通 | 1
000519.SZ | 贵州茅台 | 1
000538.SZ | 云南白药 | 4
000568.SZ | 泸州老窖 | 88
000657.SZ | 中钨高新 | 23
000672.SZ | 国科微 | 1
000683.SZ | 博源化工 | 34
  ... | 远兴能源 | 10
  ... | 博通股份 | 1
  ... | 博腾股份 | 1
  ... | 博源股份 | 1
  ... | 博汇化工 | 1
000688.SZ | 国城矿业 | 16
000703.SZ | 恒逸石化 | 8
000792.SZ | 盐湖股份 | 52
  ... | 中稀有色 | 1
000807.SZ | 云铝股份 | 68
000830.SZ | 鲁西化工 | 22
000893.SZ | 亚钾国际 | 8
000932.SZ | 华菱钢铁 | 27
000933.SZ | 神火股份 | 104
000960.SZ | 锡业股份 | 101
000962.SZ | 东方钽业 | 66
  ... | 东方铝业 | 15
  ... | 东方银星 | 5
  ... | 东方铁塔 | 1
  ... | 银轮股份 | 1
  ... | 东方银业 | 1
000973.SZ | 佛塑科技 | 6
000988.SZ | 华工科技 | 34
000999.SZ | 华润三九 | 4
001203.SZ | 大中矿业 | 2
001233.SZ | 海安集团 | 11
001309.SZ | 德明利 | 1
001330.SZ | 博纳影业 | 10
001337.SZ | 四川黄金 | 9
001389.SZ | 广合科技 | 30
001979.SZ | 招商蛇口 | 65
002001.SZ | 新和成 | 90
002008.SZ | 大族激光 | 102
002043.SZ | 兔宝宝 | 21
002044.SZ | 美年健康 | 50
002049.SZ | 紫光国微 | 13
002050.SZ | 三花智控 | 6
002057.HK | 宇通客车 | 1
002082.SZ | 万邦德 | 6
002126.SZ | 银轮股份 | 65
002129.SZ | TCL中环 | 34
002142.SZ | 宁波银行 | 36
002149.SZ | 西部材料 | 3
002155.SZ | 湖南黄金 | 115
  ... | 中国动力 | 1
002182.SZ | 宝武镁业 | 10
002215.SZ | 诺普信 | 50
002222.SZ | 福晶科技 | 6
002240.SZ | 盛新锂能 | 8
002241.SZ | 歌尔股份 | 13
002250.SZ | 科达利 | 1
002271.SZ | 东方雨虹 | 34
002311.SZ | 海大集团 | 113
002318.SZ | 久立特材 | 77
002345.SZ | 潮宏基 | 7
002353.SZ | 杰瑞股份 | 128
  ... | 金肃股份 | 1
002371.SZ | 北方华创 | 129
002384.SZ | 东山精密 | 75
002385.SZ | 杭叉集团 | 1
002396.SZ | 兆易创新 | 1
002409.SH | 雅克科技 | 2
002409.SZ | 雅克科技 | 78
  ... | 国瓷材料 | 1
002436.SZ | 兴森科技 | 19
002444.SZ | 巨星科技 | 61
002448.SZ | 中原内配 | 58
002460.SZ | 赣锋锂业 | 6
002463.SZ | 沪电股份 | 14
002466.SZ | 天齐锂业 | 19
002468.SZ | 申通快递 | 6
002475.SZ | 立讯精密 | 296
