截止日期	产品名称	产品代码	Wind代码	资产名称	持仓比例	数量	市值(本币)	最新净值	最新份额
2026-04-23	易方达均衡配置	80PF11242	00700.HK	腾讯控股	0.0938	61667	262640000	1.15	243478261
2026-04-23	易方达均衡配置	80PF11242	000858.SZ	五粮液	0.074	319162	207200000	1.15	243478261
2026-04-23	易方达均衡配置	80PF11242	1024.HK	快手	0.1181	84271	330680000	1.15	243478261
2026-04-23	易方达均衡配置	80PF11242	002475.SZ	立讯精密	0.0449	57922	132570000	1.15	243478261
2026-04-23	易方达均衡配置	80PF11242	002371.SZ	北方华创	0.0476	52175	133280000	1.15	243478261
2026-04-23	易方达均衡配置	80PF11242	600273.SH	洋河股份	0.042	29083	123760000	1.15	243478261
2026-04-23	易方达均衡配置	80PF11242	MSFT.US	微软	0.0996	487212	278880000	1.15	243478261
2026-04-23	易方达均衡配置	80PF11242	600036.SH	招商银行	0.1155	101186	323400000	1.15	243478261
2026-04-23	易方达均衡配置	80PF11242	300750.SZ	宁德时代	0.1003	79083	280840000	1.15	243478261
2026-04-23	易方达均衡配置	80PF11242	688981.SH	中芯国际	0.0551	41898	154280000	1.15	243478261
2026-04-23	易方达均衡配置	80PF11242	600276.SH	恒瑞医药	0.116	234191	324800000	1.15	243478261
2026-04-23	易方达均衡配置	80PF11242	600887.SH	伊利股份	0.0979	101002	274120000	1.15	243478261
2026-04-23	易方达均衡配置	80PF11242	TSLA.US	特斯拉	0.0606	76914	169680000	1.15	243478261
2026-04-23	易方达均衡配置	80PF11242	300059.SZ	东方财富	0.0891	180966	249480000	1.15	243478261
2026-04-23	易方达均衡配置	80PF11242	NVDA.US	英伟达	0.1029	69225	288120000	1.15	243478261
2026-04-23	易方达均衡配置	80PF11242	000333.SZ	美的集团	0.015	9515	42000000	1.15	243478261
2026-04-23	易方达均衡配置	80PF11242	688008.SH	澜起科技	0.033	39314	92400000	1.15	243478261
2026-04-23	易方达均衡配置	80PF11242	000568.SZ	泸州老窖	0.0752	109325	210560000	1.15	243478261
2026-04-23	易方达均衡配置	80PF11242	688256.SH	寒武纪	0.0083	5453	23240000	1.15	243478261
2026-04-23	易方达均衡配置	80PF11242	002714.SZ	牧原股份	0.0259	65927	72520000	1.15	243478261
2026-04-23	易方达均衡配置	80PF11242	600900.SH	长江电力	0.0968	156246	271040000	1.15	243478261
2026-04-23	易方达均衡配置	80PF11242	688041.SH	海光信息	0.1062	84456	297360000	1.15	243478261
2026-04-23	易方达均衡配置	80PF11242	688012.SH	中微公司	0.0368	1028343	103040000	1.15	243478261
2026-04-23	易方达均衡配置	80PF11242	03690.HK	美团	0.114	673702	319200000	1.15	243478261
2026-04-23	易方达均衡配置	80PF11242	601888.SH	中国中免	0.0878	995951	245840000	1.15	243478261
2026-04-23	易方达均衡配置	80PF11242	601318.SH	中国平安	0.0922	74430	258160000	1.15	243478261
2026-04-23	易方达均衡配置	80PF11242	601012.SH	隆基绿能	0.0793	895457	222930000	1.15	243478261
2026-04-23	易方达均衡配置	80PF11242	09988.HK	阿里巴巴	0.0706	527536	186400000	1.15	243478261
2026-04-23	易方达均衡配置	80PF11242	600000.SH	浦发银行	0.0362	24580	85400000	1.15	243478261
2026-04-23	易方达均衡配置	80PF11242	600028.SH	中国石化	0.0405	38433	112560000	1.15	243478261
2026-04-23	易方达均衡配置	80PF11242	688111.SH	金山办公	0.0594	62104	166320000	1.15	243478261
2026-04-23	易方达均衡配置	80PF11242	600585.SH	海螺水泥	0.0339	40327	150920000	1.15	243478261
2026-04-23	易方达均衡配置	80PF11242	600519.SH	贵州茅台	0.043	34116	120400000	1.15	243478261
2026-04-23	易方达均衡配置	80PF11242	601398.SH	工商银行	0.0362	78307	101360000	1.15	243478261
2026-04-23	易方达均衡配置	80PF11242	AMZN.US	亚马逊	0.0189	52746	52920000	1.15	243478261
2026-04-23	易方达均衡配置	80PF11242	600309.SH	万华化学	0.0187	19375	52360000	1.15	243478261
2026-04-23	易方达均衡配置	80PF11242	002594.SZ	比亚迪	0.0927	268557	259560000	1.15	243478261
2026-04-23	易方达均衡配置	80PF11242	601939.SH	建设银行	0.0299	34216	83720000	1.15	243478261
2026-04-23	易方达均衡配置	80PF11242	300274.SZ	阳光电源	0.0883	50620	247240000	1.15	243478261
2026-04-23	易方达均衡配置	80PF11242	300122.SZ	智飞生物	0.0653	126027	182840000	1.15	243478261
2026-04-23	易方达均衡配置	80PF11242	9618.HK	京东	0.0166	45979	46480000	1.15	243478261
2026-04-23	易方达均衡配置	80PF11242	601166.SH	兴业银行	0.0312	93114	87360000	1.15	243478261
2026-04-23	易方达均衡配置	80PF11242	601288.SH	农业银行	0.0066	6860	18480000	1.15	243478261
2026-04-23	易方达均衡配置	80PF11242	002415.SZ	海康威视	0.0365	20974	102200000	1.15	243478261
2026-04-23	易方达均衡配置	80PF11242	1211.HK	比亚迪股份	0.0683	54846	192080000	1.15	243478261
2026-04-23	易方达均衡配置	80PF11242	GOOG.US	谷歌	0.0195	12555	54600000	1.15	243478261
